column_name,description
_STATE,State FIPS Code
_GEOSTR,Geographic Stratum Code
_DENSTR2,Household Density Stratum Code
PRECALL,Pre-Call Status Code
SECSCRFL,Secondary Screening Flags
REPNUM,Replicate Number
REPDEPTH,Replicate Depth
FMONTH,File Month
IDATE,Interview Date
IMONTH,Interview Month
IDAY,Interview Day
IYEAR,Interview Year
INTVID,Interviewer Identification
DISPCODE,Final Disposition
SEQNO,Annual Sequence Number
_PSU,Primary Sampling Unit (Equal to Annual Sequence Number)
NATTMPTS,Number of Attempts
NRECSEL,Number of Sample Records Selected from Stratum
NRECSTR,Number of Telephone Numbers in Stratum from Which Sample Was Selected
CTELENM1,Is this (phone number) ?
PVTRESD1,"Is this a private residence? [READ ONLY IF NECESSARY: “By private residence, we mean someplace like a house"
COLGHOUS,Do you live in college housing?
STATERE1,Do you currently live in ____(state)____?
CELLFON4,"Is this a cell telephone? (Telephone service over the internet counts as landline service (includes Vonage, Magic Jack and"
LADULT,Are you 18 years of age or older?
NUMADULT,__ Number of adults
NUMMEN,How many of these adults are men?
NUMWOMEN,How many of these adults are women?
SAFETIME,Is this a safe time to talk with you?
CTELNUM1,Is this (phone number) ?
CELLFON5,Is this a cell telephone?
CADULT,Are you 18 years of age or older?
PVTRESD3,"Do you live in a private residence? (By private residence, we mean someplace like a house or apartment.)"
CCLGHOUS,Do you live in college housing?
CSTATE1,Do you currently live in ____(state)____?
RSPSTAT1,In what state do you currently live?
LANDLINE,Do you also have a landline telephone in your home that is used to make and receive
HHADULT,"How many members of your household, including yourself, are 18 years of age or older?"
GENHLTH,Would you say that in general your health is—
PHYSHLTH,"Now thinking about your physical health, which includes physical illness and injury, for"
MENTHLTH,"Now thinking about your mental health, which includes stress, depression, and problems"
POORHLTH,"During the past 30 days, for about how many days did poor physical or mental health"
HLTHPLN1,"Do you have any kind of health care coverage, including health insurance, prepaid plans"
PERSDOC2,Do you have one person you think of as your personal doctor or health care provider? (If ´No´ ask ´Is there more
MEDCOST,Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?
CHECKUP1,About how long has it been since you last visited a doctor for a routine checkup?
EXERANY2,"During the past month, other than your regular job, did you participate in any physical activities or exercises such"
SLEPTIM1,"On average, how many hours of sleep do you get in a 24-hour period?"
CVDINFR4,(Ever told) you that you had a heart attack also called a myocardial infarction?
CVDCRHD4,(Ever told) you had angina or coronary heart disease?
CVDSTRK3,(Ever told) you had a stroke?
ASTHMA3,(Ever told) you had asthma?
ASTHNOW,Do you still have asthma?
CHCSCNCR,(Ever told) you had skin cancer?
CHCOCNCR,(Ever told) you had any other types of cancer?
CHCCOPD1,"(Ever told) you have chronic obstructive pulmonary disease, C.O.P.D., emphysema or chronic bronchitis?"
HAVARTH3,"(Ever told) you have some form of arthritis, rheumatoid arthritis, gout, lupus, or"
ADDEPEV2,"(Ever told) you have a depressive disorder, (including depression, major depression,"
CHCKDNY1,"(Ever told) you have kidney disease? (Do NOT include kidney stones, bladder infection or incontinence.)"
DIABETE3,(Ever told) you have diabetes?
DIABAGE2,How old were you when you were told you have diabetes?
LASTDEN4,"Including all types of dentists, such as orthodontists, oral surgeons, and all other dental specialists, as well as"
RMVTETH4,"Not including teeth lost for injury or orthodontics, how many of your permanent teeth have been removed"
SEX1,What is your sex? or What was your sex at birth? Was it…
AGE,What is your age?
HISPANC3,"Are you Hispanic, Latino/a, or Spanish origin?"
MRACE1,Which one or more of the following would you say is your race? (If 40 (Asian) or 50 (Pacific Islander) is selected
