column_name,description
_STATE,State FIPS Code
_GEOSTR,Geographic Stratum Code
_DENSTR2,Household Density Stratum Code
PRECALL,Pre-Call Status Code
SECSCRFL,Secondary Screening Flags
REPNUM,Replicate Number
REPDEPTH,Replicate Depth
FMONTH,File Month
IDATE,Interview Date
IMONTH,Interview Month
IDAY,Interview Day
IYEAR,Interview Year
INTVID,Interviewer Identification
DISPCODE,Final Disposition
SEQNO,Annual Sequence Number
_PSU,Primary Sampling Unit (Equal to Annual Sequence Number)
NATTMPTS,Description not found
NRECSEL,Number of Sample Records Selected from Stratum
NRECSTR,Number of Telephone Numbers in Stratum from Which Sample Was Selected
CTELENM1,Is this (phone number) ?
PVTRESD1,"Is this a private residence? [READ ONLY IF NECESSARY: “By private residence, we mean someplace like a house"
COLGHOUS,Do you live in college housing?
STATERE1,Do you currently live in ____(state)____?
CELPHON1,Is this a cell telephone?
LADULT1,Are you 18 years of age or older?
NUMADULT,"I need to randomly select one adult who lives in your household to be interviewed. Excluding adults living away from home,"
RESPSLC1,The person in your household that I need to speak with is the adult with the most recent birthday. Are you the
LANDSEX2,Are you?
LNDSXBRT,What was your sex at birth? Was it male or female?
SAFETIME,Is this a safe time to talk with you?
CTELNUM1,Is this (phone number) ?
CELLFON5,Is this a cell phone?
CADULT1,Are you 18 years of age or older?
CELLSEX2,Are you?
CELSXBRT,What was your sex at birth? Was it male or female?
PVTRESD3,"Do you live in a private residence? (By private residence, we mean someplace like a house or apartment.)"
CCLGHOUS,Do you live in college housing?
CSTATE1,Do you currently live in ____(state)____?
RSPSTAT1,In what state do you currently live?
LANDLINE,Do you also have a landline telephone in your home that is used to make and receive calls?
HHADULT,"How many members of your household, including yourself, are 18 years of age or older?"
SEXVAR,Sex of Respondent
GENHLTH,Would you say that in general your health is:
PHYSHLTH,"Now thinking about your physical health, which includes physical illness and injury, for how many days during"
MENTHLTH,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how"
POORHLTH,"During the past 30 days, for about how many days did poor physical or mental health keep you from doing your"
PRIMINS1,What is the current source of your primary health insurance?
PERSDOC3,Do you have one person (or a group of doctors) that you think of as your personal health care provider?
MEDCOST1,Was there a time in the past 12 months when you needed to see a doctor but could not because you could not afford it?
CHECKUP1,About how long has it been since you last visited a doctor for a routine checkup?
EXERANY2,"During the past month, other than your regular job, did you participate in any physical activities or exercises such"
EXRACT12,What type of physical activity or exercise did you spend the most time doing during the past month?
EXEROFT1,How many times per week or per month did you take part in this activity during the past month?
EXERHMM1,"And when you took part in this activity, for how many minutes or hours did you usually keep at it?"
EXRACT22,What other type of physical activity gave you the next most exercise during the past month?
EXEROFT2,How many times per week or per month did you take part in this activity during the past month?
EXERHMM2,"And when you took part in this activity, for how many minutes or hours did you usually keep at it?"
STRENGTH,"During the past month, how many times per week or per month did you do physical activities or exercises to"
BPHIGH6,"Have you ever been told by a doctor, nurse or other health professional that you have high blood pressure? (If ´Yes"
BPMEDS1,Are you currently taking prescription medicine for your high blood pressure?
CHOLCHK3,About how long has it been since you last had your cholesterol checked?
TOLDHI3,"Have you ever been told by a doctor, nurse or other health professional that your cholesterol is high?"
CHOLMED3,Are you currently taking medicine prescribed by your doctor or other health professional for your cholesterol?
CVDINFR4,"(Ever told) you had a heart attack, also called a myocardial infarction?"
CVDCRHD4,(Ever told) (you had) angina or coronary heart disease?
CVDSTRK3,(Ever told) (you had) a stroke.
ASTHMA3,(Ever told) (you had) asthma?
ASTHNOW,Do you still have asthma?
